Common HMM accessions and their descriptions:

Accession	Description
----------------------------
NF000428	NCBIFAM: FRI family carbapenem-hydrolyzing class A beta-lactamase
NF001097	NCBI Protein Cluster (PRK): uracil phosphoribosyltransferase
NF001729	NCBI Protein Cluster (PRK): orotate phosphoribosyltransferase
NF002095	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase
NF002320	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase
NF002620	NCBI Protein Cluster (PRK): orotate phosphoribosyltransferase-like protein
NF002632	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF002633	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF002634	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF002635	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF002636	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF002844	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase
NF003545	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
NF003546	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
NF003547	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
NF003548	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
NF003549	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
NF004034	NCBI Protein Cluster (PRK): bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase
NF004689	NCBI Protein Cluster (PRK): phosphoribosyltransferase
NF005299	NCBI Protein Cluster (PRK): phosphoribosylpyrophosphate synthetase
NF005537	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase
NF006328	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF006671	NCBI Protein Cluster (PRK): xanthine phosphoribosyltransferase
NF008619	NCBI Protein Cluster (PRK): phosphoethanolamine transferase EptA
NF009211	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase
NF010382	NCBI Protein Cluster (PRK): orotate phosphoribosyltransferase
NF028537	NCBIFAM: phosphoethanolamine--lipid A transferase
NF033420	NCBIFAM: type VI secretion system PAAR domain
NF040646	NCBIFAM: hypoxanthine/guanine phosphoribosyltransferase
NF041200	NCBIFAM: BfmA/BtgA family mobilization N-terminal domain
NF045507	NCBIFAM: transcriptional regulator GfcR
NF047593	NCBIFAM: IS66 family insertion sequence element accessory protein TnpA
PF00156	Phosphoribosyl transferase domain
PF00239	Resolvase, N terminal domain
PF04851	Type III restriction enzyme, res subunit
PF06293	Lipopolysaccharide kinase (Kdo/WaaP) family
PF07931	Chloramphenicol phosphotransferase-like protein
PF10798	Biofilm development protein YmgB/AriR
PF14681	Uracil phosphoribosyltransferase
PF15609	Phosphoribosyl transferase
PF20720	Novel STAND NTPase 3
PF24390	PRTase-CE
TIGR00201	JCVI: ComF family protein
TIGR00336	JCVI: orotate phosphoribosyltransferase
TIGR01082	JCVI: UDP-N-acetylmuramate--L-alanine ligase
TIGR01090	JCVI: adenine phosphoribosyltransferase
TIGR01091	JCVI: uracil phosphoribosyltransferase
TIGR01203	JCVI: hypoxanthine phosphoribosyltransferase
TIGR01251	JCVI: ribose-phosphate diphosphokinase
TIGR01302	JCVI: IMP dehydrogenase
TIGR01744	JCVI: xanthine phosphoribosyltransferase
TIGR02987	JCVI: Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase
