Most Frequent Protein ID	Frequency	Description
WP_002108265.1	3150	reverse transcriptase family protein
WP_122419333.1	1679	phosphoribosyltransferase-like protein
Unknown	1587	hypothetical protein
WP_157845837.1	1360	N-6 DNA methylase
Unknown	1226	transposase
Unknown	1002	helix-turn-helix domain-containing protein
WP_013213991.1	933	GNAT family N-acetyltransferase
Unknown	874	tyrosine-type recombinase/integrase
WP_013213995.1	789	hypothetical protein
WP_013213994.1	774	hypothetical protein
WP_026749760.1	753	retron St85 family RNA-directed DNA polymerase
WP_240994606.1	735	AAA family ATPase
WP_001246782.1	654	TetR/AcrR family transcriptional regulator
Unknown	620	ATP-binding protein
Unknown	591	IS3 family transposase
WP_015344938.1	571	incFII family plasmid replication initiator RepA
WP_015344940.1	563	replication regulatory protein RepA
WP_015344941.1	556	phospholipase D family protein
WP_004171457.1	541	RepA leader peptide Tap
WP_071535374.1	505	PfkB family carbohydrate kinase
WP_000528179.1	501	helix-turn-helix transcriptional regulator
WP_012075817.1	494	NADAR family protein
WP_029528619.1	425	UvrD-helicase domain-containing protein
WP_032952915.1	424	site-specific integrase
WP_020977746.1	398	recombinase family protein
WP_013213999.1	395	hypothetical protein
WP_000566930.1	385	class I SAM-dependent methyltransferase
WP_002010310.1	384	dUTP diphosphatase
WP_019706022.1	382	hypothetical protein
WP_077306024.1	368	phosphoribosyltransferase
WP_122419331.1	344	DEAD/DEAH box helicase
WP_171941853.1	315	HAD hydrolase family protein
WP_001797059.1	268	HNH endonuclease
WP_000546794.1	265	LysR family transcriptional regulator
Unknown	260	reverse transcriptase domain-containing protein
WP_000415726.1	244	HAD family hydrolase
WP_000995341.1	223	pirin family protein
WP_039244920.1	222	MFS transporter
WP_029528618.1	221	ATP-dependent nuclease
WP_077306026.1	221	DUF2971 domain-containing protein
WP_119871895.1	219	DNA methyltransferase
WP_001112278.1	217	DapH/DapD/GlmU-related protein
WP_001054892.1	215	hypothetical protein
WP_001171042.1	214	PaaI family thioesterase
WP_077306016.1	214	MBL fold metallo-hydrolase
WP_000280761.1	214	hypothetical protein
WP_000793838.1	213	threo-3-hydroxy-L-aspartate ammonia-lyase
WP_000380470.1	206	carbon starvation CstA family protein
WP_033986788.1	205	DNA-binding protein
WP_000062822.1	203	phenylacetic acid degradation operon negative regulatory protein PaaX
WP_131096076.1	197	integrase arm-type DNA-binding domain-containing protein
WP_000377856.1	196	phenylacetate--CoA ligase PaaK
WP_000504281.1	194	DNA adenine methylase
WP_000564578.1	189	hypothetical protein
WP_001009533.1	187	YbdD/YjiX family protein
WP_071537214.1	181	TniQ family protein
WP_023280423.1	180	integrase domain-containing protein
WP_105134487.1	178	DNA cytosine methyltransferase
WP_122419329.1	173	ATP-dependent helicase
WP_138110706.1	171	methyltransferase
WP_164455104.1	166	restriction endonuclease
WP_077306020.1	164	AVAST type 1 anti-phage system protein Avs1c
WP_155772792.1	163	hypothetical protein
WP_155772790.1	163	hypothetical protein
WP_155772791.1	162	hypothetical protein
Unknown	161	ABC transporter ATP-binding protein
WP_077306022.1	161	hypothetical protein
WP_077306018.1	160	S1 family peptidase
WP_077306028.1	154	hypothetical protein
WP_122419337.1	151	MobH family relaxase
WP_158077535.1	150	tetratricopeptide repeat protein
Unknown	150	integrase
WP_003721303.1	148	histidine phosphatase family protein
WP_024437433.1	144	hypothetical protein
WP_023280426.1	143	phospholipase D-like domain-containing protein
WP_051447868.1	142	restriction endonuclease subunit S
WP_000807392.1	141	thiamine-phosphate kinase
WP_001061479.1	140	catalase family peroxidase
WP_000334188.1	139	glutamine--fructose-6-phosphate transaminase (isomerizing)
WP_170869072.1	139	alpha/beta hydrolase
WP_159235868.1	138	ATP-dependent endonuclease
WP_001277471.1	138	DUF1330 domain-containing protein
WP_026749765.1	135	MurR/RpiR family transcriptional regulator
WP_000670324.1	133	hypothetical protein
WP_026749759.1	132	DHA2 family efflux MFS transporter permease subunit
WP_032425173.1	131	AAA domain-containing protein
WP_000528179.1	131	transcriptional regulator
WP_017400769.1	130	relaxase/mobilization nuclease domain-containing protein
WP_131096073.1	125	metallophosphoesterase
WP_001063722.1	121	glutamate racemase
WP_122419330.1	121	endonuclease domain-containing protein
WP_001180283.1	120	cytochrome b
WP_007901093.1	120	hypothetical protein
WP_196238160.1	118	ImmA/IrrE family metallo-endopeptidase
WP_122419335.1	118	hypothetical protein
WP_122419336.1	118	hypothetical protein
WP_142448075.1	117	type I restriction endonuclease subunit R
WP_122419332.1	116	HamA C-terminal domain-containing protein
WP_003721318.1	114	SulP family inorganic anion transporter
WP_070273688.1	114	ROK family transcriptional regulator
WP_012951252.1	113	DUF1304 domain-containing protein
WP_026749764.1	112	6-phospho-beta-glucosidase
WP_000610887.1	109	hypothetical protein
WP_000568400.1	109	hypothetical protein
Unknown	108	nucleotidyltransferase domain-containing protein
WP_026749761.1	108	hypothetical protein
WP_335618219.1	107	hypothetical protein
WP_117999882.1	106	SIR2 family protein
WP_125034234.1	106	hypothetical protein
WP_125034231.1	106	hypothetical protein
WP_002086068.1	105	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
WP_046543938.1	104	single-stranded DNA-binding protein
WP_007666376.1	103	hypothetical protein
Unknown	101	alpha/beta fold hydrolase
WP_391515911.1	100	carbohydrate kinase family protein
WP_014600555.1	100	hypothetical protein
WP_305801737.1	99	Eco57I restriction-modification methylase domain-containing protein
WP_036413146.1	94	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
WP_003117425.1	93	type II toxin-antitoxin system RelE/ParE family toxin
WP_124989630.1	93	hypothetical protein
WP_029528612.1	93	hypothetical protein
WP_029528611.1	93	hypothetical protein
WP_026749762.1	93	hypothetical protein
