ClusterID,Proteins
Cluster_1,"WP_023280425.1, WP_023280426.1, WP_032425173.1, WP_032425175.1, WP_102063369.1, WP_109038910.1, WP_109266406.1, WP_114271266.1, WP_116979165.1, WP_117039136.1, WP_135726248.1, WP_142381959.1, WP_181586356.1, WP_195244026.1, WP_195244027.1, WP_201991210.1, WP_204363129.1, WP_219154288.1, WP_219280014.1, WP_219280016.1, WP_223176969.1, WP_223176970.1, WP_223332460.1, WP_227508163.1, WP_227536660.1, WP_227537174.1, WP_227853123.1, WP_227853124.1, WP_228261357.1, WP_228356153.1, WP_228703182.1, WP_234278754.1, WP_234278755.1, WP_238762060.1, WP_238762061.1, WP_241506328.1, WP_243069316.1, WP_247187835.1, WP_253264372.1, WP_253264373.1, WP_255089151.1, WP_258960139.1, WP_265716424.1, WP_279915268.1, WP_285209260.1, WP_285209261.1, WP_306589151.1, WP_329958259.1, WP_332095267.1, WP_342139704.1, WP_342139705.1, WP_368294976.1, WP_368296289.1, WP_369783712.1, WP_370429708.1, WP_374875291.1, WP_410054638.1, WP_416263238.1"
Cluster_2,"WP_002108265.1, WP_023896948.1, WP_050591753.1, WP_057061105.1, WP_057066348.1, WP_057091188.1, WP_057193900.1, WP_057689869.1, WP_057690140.1, WP_057691087.1, WP_057692513.1, WP_057694244.1, WP_068920957.1, WP_071543116.1, WP_078208045.1, WP_086379547.1, WP_099745566.1, WP_099755447.1, WP_099769520.1, WP_099770223.1, WP_130111491.1, WP_133447470.1, WP_143243501.1, WP_146242980.1, WP_148108544.1, WP_148792969.1, WP_171251031.1, WP_198064314.1, WP_198073723.1, WP_198080947.1, WP_198131398.1, WP_228138089.1, WP_228138786.1, WP_228138805.1, WP_228139108.1, WP_228258017.1, WP_240485668.1, WP_240489289.1, WP_249399367.1, WP_252322637.1, WP_260797521.1, WP_260797522.1, WP_264515957.1, WP_264753085.1, WP_265091382.1, WP_272342476.1, WP_272396957.1, WP_272401256.1, WP_277556746.1, WP_279369673.1, WP_279369674.1, WP_279980815.1, WP_306220003.1, WP_348916518.1, WP_420198657.1, WP_427775339.1"
Cluster_3,"WP_013213998.1, WP_014343474.1, WP_074160419.1, WP_157845837.1, WP_171996528.1, WP_172481283.1, WP_172488753.1, WP_172881786.1, WP_174561797.1, WP_177332180.1, WP_179255563.1, WP_179255564.1, WP_180354942.1, WP_181216577.1, WP_183129369.1, WP_192873694.1, WP_193055528.1, WP_196317507.1, WP_201282763.1, WP_202181198.1, WP_210472969.1, WP_210531048.1, WP_214593189.1, WP_218452272.1, WP_222859269.1, WP_223369473.1, WP_224267728.1, WP_226659826.1, WP_238142485.1, WP_253603391.1, WP_259390400.1, WP_264928071.1, WP_308378298.1, WP_310628791.1, WP_319839101.1, WP_321154163.1, WP_330190108.1, WP_336196029.1, WP_348636537.1, WP_355493117.1, WP_407205213.1, WP_407210606.1, WP_407210669.1, WP_407210885.1, WP_407221220.1, WP_410028803.1, WP_410397569.1"
Cluster_4,"WP_293725571.1, WP_294030746.1, WP_294041604.1, WP_295538309.1, WP_305801415.1, WP_305801737.1, WP_305801916.1, WP_305802044.1, WP_305802211.1, WP_305802731.1, WP_305802840.1, WP_305802988.1, WP_419586017.1, WP_419590890.1, WP_419592802.1, WP_419594736.1, WP_419595086.1, WP_419602363.1, WP_419606917.1, WP_419611087.1, WP_419612356.1, WP_419616092.1, WP_419616970.1, WP_419617794.1, WP_419620850.1, WP_419624666.1, WP_419625096.1, WP_419628363.1, WP_419630770.1, WP_419630772.1, WP_419631751.1, WP_419634370.1, WP_419636161.1, WP_419637801.1, WP_419644781.1, WP_419652287.1"
Cluster_5,"WP_007666379.1, WP_023280428.1, WP_071887592.1, WP_085447662.1, WP_096855503.1, WP_105567945.1, WP_108454226.1, WP_108998722.1, WP_109038003.1, WP_109242916.1, WP_116835152.1, WP_117039134.1, WP_117059664.1, WP_204098262.1, WP_204363128.1, WP_204363130.1, WP_219280009.1, WP_222847776.1, WP_227502667.1, WP_251889879.1, WP_252055773.1, WP_263755443.1, WP_306589150.1, WP_340580724.1, WP_369783710.1, WP_369783753.1, WP_395537548.1, WP_407199704.1, WP_411194795.1"
Cluster_6,"WP_001133247.1, WP_001246782.1, WP_002108267.1, WP_005131156.1, WP_029424192.1, WP_031946289.1, WP_031946686.1, WP_043960434.1, WP_057693787.1, WP_060455699.1, WP_065725241.1, WP_086379546.1, WP_098732784.1, WP_111849668.1, WP_195198268.1, WP_212798098.1, WP_213066873.1, WP_215897765.1, WP_225489093.1, WP_237414225.1, WP_274366559.1, WP_279979463.1, WP_280039404.1, WP_280043485.1, WP_284072655.1, WP_350499310.1, WP_375586730.1, WP_427775266.1"
Cluster_7,"WP_000663275.1, WP_000812683.1, WP_000812686.1, WP_000812688.1, WP_000812689.1, WP_031879716.1, WP_073407507.1, WP_084929335.1, WP_086032546.1, WP_086032827.1, WP_086037218.1, WP_086045255.1, WP_086095301.1, WP_094611089.1, WP_094611151.1, WP_111151668.1, WP_142278624.1, WP_142295425.1, WP_164783844.1, WP_190357191.1, WP_216712417.1, WP_216813336.1, WP_229957229.1, WP_237773851.1, WP_281263639.1, WP_422663589.1, WP_422663749.1"
Cluster_8,"WP_079927709.1, WP_080314647.1, WP_087728439.1, WP_088244079.1, WP_088717867.1, WP_110191954.1, WP_117115354.1, WP_130993823.1, WP_130993824.1, WP_131096075.1, WP_133816103.1, WP_149377099.1, WP_154902328.1, WP_181541621.1, WP_193149588.1, WP_193863123.1, WP_216502339.1, WP_226310331.1, WP_228932421.1, WP_251854117.1, WP_251854118.1, WP_285160118.1, WP_308063285.1, WP_320728654.1, WP_323101450.1"
Cluster_9,"WP_004099067.1, WP_004152292.1, WP_004152386.1, WP_004200825.1, WP_013023768.1, WP_013213997.1, WP_015344938.1, WP_023307528.1, WP_023317514.1, WP_032249431.1, WP_072101968.1, WP_114266347.1, WP_117047248.1, WP_124038216.1, WP_182158421.1, WP_227665768.1, WP_235123382.1, WP_235296452.1, WP_262390845.1, WP_266097627.1, WP_277967612.1, WP_369741467.1, WP_405001224.1, WP_407257447.1"
Cluster_10,"WP_021539890.1, WP_045616269.1, WP_065186903.1, WP_106485366.1, WP_112067094.1, WP_136431144.1, WP_137230135.1, WP_150360883.1, WP_162733198.1, WP_204082027.1, WP_205939662.1, WP_213059509.1, WP_213320147.1, WP_221829862.1, WP_241701853.1, WP_251255952.1, WP_256740811.1, WP_275257223.1, WP_311095088.1, WP_311215606.1, WP_311215607.1, WP_353418394.1"
