psi_protein,neighbor_protein,neighbor_pident,genome_protein,genome_pident
WP_235154195,WP_409997804.1,98.782,WP_261307172.1,100.0
WP_235154195,WP_410401005.1,100.0,WP_249509501.1,98.814
WP_062913612,WP_069985718.1,98.405,WP_069985719.1,97.938
WP_396085763,WP_409997804.1,98.985,WP_261307172.1,100.0
WP_396085763,WP_410401005.1,100.0,WP_249509501.1,99.012
WP_174491340,WP_409997804.1,98.985,WP_261307172.1,100.0
WP_174491340,WP_410401005.1,100.0,WP_249509501.1,99.012
WP_241407768,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_241407768,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_209392441,WP_409997804.1,99.188,WP_261307172.1,100.0
WP_209392441,WP_410401005.1,100.0,WP_249509501.1,99.209
WP_181877452,WP_409997804.1,98.68,WP_261307172.1,99.627
WP_181877452,WP_410401005.1,99.587,WP_249509501.1,98.715
WP_170973680,WP_409997804.1,99.492,WP_261307172.1,100.0
WP_170973680,WP_410401005.1,100.0,WP_249509501.1,99.506
WP_247176985,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_247176985,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_174491135,WP_409997804.1,99.086,WP_261307172.1,100.0
WP_174491135,WP_410401005.1,100.0,WP_249509501.1,99.111
WP_027663104,WP_409997804.1,98.782,WP_261307172.1,99.627
WP_027663104,WP_410401005.1,99.587,WP_249509501.1,98.814
WP_172948505,WP_409997804.1,99.086,WP_261307172.1,100.0
WP_172948505,WP_410401005.1,100.0,WP_249509501.1,99.111
WP_213855181,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_213855181,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_176210974,WP_409997804.1,98.68,WP_261307172.1,99.627
WP_176210974,WP_410401005.1,99.587,WP_249509501.1,98.715
WP_353520550,WP_409997804.1,99.898,WP_261307172.1,99.627
WP_353520550,WP_410401005.1,99.587,WP_249509501.1,99.901
WP_243052653,WP_409997804.1,99.086,WP_261307172.1,99.627
WP_243052653,WP_410401005.1,100.0,WP_249509501.1,99.111
WP_237990502,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_237990502,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_175566493,WP_409997804.1,98.782,WP_261307172.1,99.627
WP_175566493,WP_410401005.1,99.587,WP_249509501.1,98.814
WP_001442743,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_001442743,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_001505097,WP_409997804.1,98.883,WP_261307172.1,99.627
WP_001505097,WP_410401005.1,99.587,WP_249509501.1,98.913
WP_176240820,WP_409997804.1,99.188,WP_261307172.1,100.0
WP_176240820,WP_410401005.1,100.0,WP_249509501.1,99.209
WP_001542068,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_001542068,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_175616550,WP_409997804.1,99.492,WP_261307172.1,100.0
WP_175616550,WP_410401005.1,100.0,WP_249509501.1,99.506
WP_242647603,WP_409997804.1,99.797,WP_261307172.1,100.0
