Protein1	Protein2	Percent_Identity
WP_016357129.1	WP_223246853.1	99.272
WP_016357129.1	WP_342672723.1	99.602
WP_019269576.1	WP_036428024.1	99.79
WP_124065251.1	WP_232627577.1	100.0
WP_124065251.1	WP_165768429.1	95.833
WP_124065251.1	WP_332606490.1	100.0
WP_165768429.1	WP_232627577.1	95.611
WP_165768429.1	WP_332606490.1	95.614
WP_223246853.1	WP_342672723.1	99.511
WP_226961206.1	WP_239022529.1	99.831
WP_226961206.1	WP_349612002.1	99.796
WP_226961206.1	WP_228477218.1	99.711
WP_226961206.1	WP_228475701.1	99.664
WP_228475701.1	WP_228477218.1	100.0
WP_228475701.1	WP_349612002.1	100.0
WP_228475701.1	WP_239022529.1	99.878
WP_228477218.1	WP_349612002.1	100.0
WP_228477218.1	WP_239022529.1	99.885
WP_228710992.1	WP_228712064.1	100.0
WP_232627577.1	WP_332606490.1	99.342
WP_238580652.1	WP_285230770.1	98.684
WP_239022529.1	WP_349612002.1	99.901
WP_249533828.1	WP_409024341.1	99.897
WP_249533828.1	WP_284556596.1	99.244
WP_265493734.1	WP_265579380.1	99.387
WP_265493734.1	WP_265503875.1	98.466
WP_265503875.1	WP_265579380.1	98.16
WP_284556596.1	WP_409024341.1	99.369
