Target Name	Accession	Query Name	E-value	Score	Start	End	Description
PRTase-CE	PF24390.1	WP_032001776	1.7e-57	195.6	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_228274323	1.2e-57	196.1	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_033523411	2.9e-58	198.1	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_318156219	6e-58	197.1	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_194596957	2e-58	198.7	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_409360633	6.3e-58	197.0	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_018678744	6.3e-58	197.0	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_367111835	3.2e-58	198.0	33	314	PRTase-CE
PRTase-CE	PF24390.1	WP_053142598	6.1e-58	197.1	17	298	PRTase-CE
PRTase-CE	PF24390.1	WP_348836037	4.5e-58	197.5	17	298	PRTase-CE
PRTase-CE	PF24390.1	WP_088458760	5.6e-56	190.6	30	313	PRTase-CE
PRTase-CE	PF24390.1	WP_228261792	3.7e-54	184.7	26	305	PRTase-CE
PRTase-CE	PF24390.1	WP_099760429	1.8e-62	211.9	26	310	PRTase-CE
PRTase-CE	PF24390.1	WP_050459352	3e-53	181.7	27	307	PRTase-CE
PRTase-CE	PF24390.1	WP_005095129	4.7e-53	181.0	27	307	PRTase-CE
PRTase-CE	PF24390.1	WP_348942331	3.5e-53	181.5	27	307	PRTase-CE
PRTase-CE	PF24390.1	WP_131148583	1.2e-62	212.4	26	310	PRTase-CE
PRTase-CE	PF24390.1	WP_234964978	3.3e-58	197.9	25	309	PRTase-CE
PRTase-CE	PF24390.1	WP_099795049	2e-60	205.2	21	305	PRTase-CE
PRTase-CE	PF24390.1	WP_051165269	5.9e-60	203.6	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_277427652	7e-64	216.5	24	308	PRTase-CE
PRTase-CE	PF24390.1	WP_187109497	1.1e-56	193.0	18	305	PRTase-CE
PRTase-CE	PF24390.1	WP_223287875	1.4e-63	215.5	23	310	PRTase-CE
PRTase-CE	PF24390.1	WP_230344884	2.5e-59	201.6	24	308	PRTase-CE
PRTase-CE	PF24390.1	WP_109585276	3.5e-65	220.8	23	307	PRTase-CE
PRTase-CE	PF24390.1	WP_257704710	2.2e-62	211.6	19	304	PRTase-CE
PRTase-CE	PF24390.1	WP_397461376	5.6e-59	200.4	21	308	PRTase-CE
PRTase-CE	PF24390.1	WP_125921041	2.3e-59	201.7	25	312	PRTase-CE
PRTase-CE	PF24390.1	WP_135811210	1.2e-59	202.7	33	319	PRTase-CE
PRTase-CE	PF24390.1	WP_000997621	8.6e-60	203.1	33	319	PRTase-CE
PRTase-CE	PF24390.1	WP_004760349	9.9e-60	202.9	33	319	PRTase-CE
PRTase-CE	PF24390.1	WP_312530021	4.2e-61	207.4	27	308	PRTase-CE
PRTase-CE	PF24390.1	WP_409246527	7.6e-60	203.3	21	307	PRTase-CE
PRTase-CE	PF24390.1	WP_346641654	1.1e-58	199.5	21	308	PRTase-CE
PRTase-CE	PF24390.1	WP_150059445	2.1e-59	201.8	21	304	PRTase-CE
PRTase-CE	PF24390.1	WP_076879232	2.3e-58	198.4	33	318	PRTase-CE
PRTase-CE	PF24390.1	WP_346789596	2e-59	201.9	23	309	PRTase-CE
PRTase-CE	PF24390.1	WP_229606373	1.8e-57	195.5	25	312	PRTase-CE
PRTase-CE	PF24390.1	WP_091338249	2.6e-65	221.2	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_144373900	1e-60	206.1	22	309	PRTase-CE
PRTase-CE	PF24390.1	WP_288491432	3.2e-59	201.2	33	319	PRTase-CE
PRTase-CE	PF24390.1	WP_151779139	1.8e-58	198.8	33	319	PRTase-CE
PRTase-CE	PF24390.1	WP_110622836	6.3e-64	216.7	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_023113484	3.4e-60	204.4	21	308	PRTase-CE
PRTase-CE	PF24390.1	WP_200659271	4.7e-64	217.1	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_281659874	1.1e-60	206.1	22	309	PRTase-CE
PRTase-CE	PF24390.1	WP_025211323	7.9e-64	216.3	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_152486665	2.2e-64	218.2	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_125279815	2e-62	211.7	28	316	PRTase-CE
PRTase-CE	PF24390.1	WP_104499305	2e-62	211.7	28	316	PRTase-CE
PRTase-CE	PF24390.1	WP_187636309	1.3e-64	219.0	19	303	PRTase-CE
PRTase-CE	PF24390.1	WP_080426691	4.3e-64	217.2	24	308	PRTase-CE
PRTase-CE	PF24390.1	WP_089606605	3.9e-59	200.9	17	302	PRTase-CE
PRTase-CE	PF24390.1	WP_119871894	6.3e-61	206.8	21	304	PRTase-CE
PRTase-CE	PF24390.1	WP_081333393	2.3e-64	218.1	24	308	PRTase-CE
PRTase-CE	PF24390.1	WP_013698658	1.1e-63	215.8	24	308	PRTase-CE
PRTase-CE	PF24390.1	WP_404491478	7e-63	213.2	25	313	PRTase-CE
PRTase-CE	PF24390.1	WP_098714333	9.8e-64	216.0	25	313	PRTase-CE
PRTase-CE	PF24390.1	WP_241876738	9.4e-54	183.3	20	309	PRTase-CE
PRTase-CE	PF24390.1	WP_224992130	1.6e-63	215.3	25	313	PRTase-CE
PRTase-CE	PF24390.1	WP_011381523	2.1e-65	221.5	21	304	PRTase-CE
PRTase-CE	PF24390.1	WP_228133839	2.2e-42	146.1	1	241	PRTase-CE
PRTase-CE	PF24390.1	WP_122517536	1.2e-62	212.4	24	310	PRTase-CE
PRTase-CE	PF24390.1	WP_122562685	2e-61	208.4	24	310	PRTase-CE
PRTase-CE	PF24390.1	WP_368562675	3.4e-57	194.6	6	278	PRTase-CE
PRTase-CE	PF24390.1	WP_272396348	6e-58	197.1	19	309	PRTase-CE
PRTase-CE	PF24390.1	WP_087673717	6.4e-61	206.8	24	310	PRTase-CE
PRTase-CE	PF24390.1	WP_087672987	1.1e-60	206.0	24	310	PRTase-CE
PRTase-CE	PF24390.1	WP_266009399	3.5e-61	207.7	24	310	PRTase-CE
PRTase-CE	PF24390.1	WP_153389546	1.1e-60	206.0	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_216112355	2.6e-58	198.3	25	315	PRTase-CE
PRTase-CE	PF24390.1	WP_145015110	2.1e-60	205.1	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_262478022	1.5e-57	195.8	3	267	PRTase-CE
PRTase-CE	PF24390.1	WP_093322664	1.4e-60	205.7	25	305	PRTase-CE
PRTase-CE	PF24390.1	WP_192230128	5e-60	203.9	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_095100002	1.9e-59	202.0	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_078819988	3.2e-59	201.2	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_325717660	8.5e-61	206.4	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_354419658	1.1e-69	235.6	24	303	PRTase-CE
PRTase-CE	PF24390.1	WP_156078423	1.1e-67	228.9	24	308	PRTase-CE
YxiF	PF24715.1	WP_156078423	0.00091	19.7	129	226	YxiF protein
PRTase-CE	PF24390.1	WP_205530091	4.2e-50	171.4	21	282	PRTase-CE
PRTase-CE	PF24390.1	WP_282384010	6e-60	203.6	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_153423780	2.6e-68	231.0	30	309	PRTase-CE
PRTase-CE	PF24390.1	WP_114724849	5e-64	217.0	19	304	PRTase-CE
PRTase-CE	PF24390.1	WP_164575080	6.7e-58	196.9	28	316	PRTase-CE
PRTase-CE	PF24390.1	WP_076846185	2.9e-57	194.8	28	316	PRTase-CE
PRTase-CE	PF24390.1	WP_024679391	9.6e-59	199.7	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_192293182	1.3e-57	196.0	21	306	PRTase-CE
PRTase-CE	PF24390.1	WP_101152318	8.6e-58	196.6	24	309	PRTase-CE
PRTase-CE	PF24390.1	WP_346437209	1.7e-66	225.1	19	304	PRTase-CE
PRTase-CE	PF24390.1	WP_151047664	3.6e-58	197.8	28	316	PRTase-CE
PRTase-CE	PF24390.1	WP_213916395	1.4e-67	228.6	28	309	PRTase-CE
PRTase-CE	PF24390.1	WP_222047566	9.8e-67	225.9	24	302	PRTase-CE
PRTase-CE	PF24390.1	WP_052729842	1.7e-68	231.6	28	309	PRTase-CE
PRTase-CE	PF24390.1	WP_033080595	2.1e-67	228.0	28	312	PRTase-CE
PRTase-CE	PF24390.1	WP_301730536	4.9e-66	223.6	19	304	PRTase-CE
PRTase-CE	PF24390.1	WP_164024703	8.8e-69	232.6	28	307	PRTase-CE
PRTase-CE	PF24390.1	WP_169327714	3.4e-68	230.6	20	301	PRTase-CE
PRTase-CE	PF24390.1	WP_311944416	2.3e-67	227.9	24	303	PRTase-CE
PRTase-CE	PF24390.1	WP_284312641	6.6e-64	216.6	24	303	PRTase-CE
PRTase-CE	PF24390.1	WP_064697786	1.1e-69	235.5	20	301	PRTase-CE
