psi_protein,neighbour_protein,percent_identity,genome_id,neighbour_domains,psi_domains
WP_059002904.1,WP_244212823.1,67.593,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_096806098.1,WP_128320334.1,62.376,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_255005427.1,WP_039541967.1,69.325,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_089625526.1,WP_157898034.1,67.204,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_226308240.1,WP_128320334.1,67.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_307751998.1,WP_128320334.1,68.687,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_218438112.1,WP_244212823.1,67.593,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_369987549.1,WP_244212823.1,70.796,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_123449907.1,WP_244212823.1,67.593,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_226342275.1,WP_244212823.1,61.972,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_368942970.1,WP_244212823.1,75.0,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_038453481.1,WP_244212823.1,72.477,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_083184272.1,WP_244212823.1,74.312,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_101283320.1,WP_244212823.1,65.741,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_071480073.1,WP_039541967.1,65.644,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_027595096.1,WP_244212823.1,74.312,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_047734726.1,WP_128320334.1,68.687,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_314917625.1,WP_244212823.1,64.815,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_233968158.1,WP_128320334.1,67.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_166406173.1,WP_244212823.1,74.074,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_265053175.1,WP_194473083.1,62.857,NZ_CP030037.1,PRTase-CE,PRTase-CE
