ClusterID,Proteins
Cluster_1,"WP_035146712.1, WP_120761052.1, WP_120761053.1, WP_151388564.1, WP_162624697.1, WP_162926701.1, WP_172952845.1, WP_251950502.1"
Cluster_2,"WP_233433202.1, WP_248841089.1, WP_249533827.1, WP_251849807.1, WP_255128775.1, WP_353395127.1, WP_409024342.1"
Cluster_3,"WP_043514340.1, WP_238580651.1, WP_241194367.1, WP_258662729.1, WP_273681674.1, WP_285230769.1"
Cluster_4,"WP_016357131.1, WP_223246854.1, WP_252856510.1, WP_261369487.1, WP_261369488.1"
Cluster_5,"WP_228475700.1, WP_228477217.1, WP_239022530.1, WP_274758025.1"
Cluster_6,"WP_260479442.1, WP_409240751.1, WP_417064782.1"
Cluster_7,"WP_334199238.1, WP_409231146.1, WP_409231152.1"
Cluster_8,"WP_019269578.1, WP_041159810.1, WP_045081927.1"
Cluster_9,"WP_124065257.1, WP_165768430.1"
Cluster_10,"WP_119212774.1, WP_416388739.1"
Cluster_11,"WP_152692415.1, WP_425323302.1"
Cluster_12,"WP_261801536.1, WP_302351208.1"
Cluster_13,"WP_018713964.1, WP_143297696.1"
Cluster_14,"WP_004384057.1, WP_155813798.1"
Cluster_15,"WP_227554590.1, WP_228267262.1"
Cluster_16,"WP_271342744.1, WP_333727762.1"
Cluster_17,"WP_228023579.1, WP_228036025.1"
Cluster_18,"WP_366919652.1, WP_421666502.1"
