psi_protein,neighbour_protein,percent_identity,genome_id,neighbour_domains,psi_domains
WP_232581621.1,WP_157898034.1,35.676,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_059002904.1,WP_157898034.1,28.906,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_096806098.1,WP_157898034.1,30.864,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_099432944.1,WP_157898034.1,31.892,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_018678744.1,WP_000884830.1,35.0,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_252099439.1,WP_157898034.1,37.179,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_354446093.1,WP_244212823.1,40.0,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE; PRTase-CE
WP_354446093.1,WP_157898034.1,37.681,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE; PRTase-CE
WP_292621970.1,WP_219042728.1,33.498,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_111849817.1,WP_060382056.1,21.333,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_020904087.1,WP_157898034.1,32.24,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_325437418.1,WP_219042728.1,37.515,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_325437418.1,WP_206079065.1,35.673,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran
WP_201203335.1,WP_000884830.1,28.571,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_349926663.1,WP_244212823.1,38.144,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_349926663.1,WP_157898034.1,36.111,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_110177005.1,WP_157898034.1,35.821,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_401273537.1,WP_157898034.1,25.0,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_401273537.1,WP_128320334.1,32.308,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_180167671.1,WP_039541967.1,29.787,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_171040039.1,WP_039541967.1,29.787,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_371887374.1,WP_219042728.1,22.979,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_371887374.1,WP_206079065.1,22.67,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_371887374.1,WP_101283316.1,24.231,NZ_CP061079.1,AAA_16; AAA_22; ATPase_2; AAA; nSTAND1; DUF815; NB-ARC; DEAD; nSTAND3; TIGR02928; DnaA_homol_Hda; DnaA_homol_Hda; F430_CfbC,PRTase-CE
WP_080366106.1,WP_060382056.1,23.988,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_109023009.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_152900456.1,WP_000884830.1,25.0,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_164566378.1,WP_219042728.1,33.907,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_194207680.1,WP_157898034.1,30.108,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_138327977.1,WP_128320334.1,35.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_138327977.1,WP_157898034.1,24.737,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_349399877.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_222015479.1,WP_194473083.1,34.615,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_183919314.1,WP_128320334.1,39.344,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_183919314.1,WP_194473083.1,34.066,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_102370366.1,WP_157898034.1,34.328,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_240441513.1,WP_157898034.1,24.49,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_391260765.1,WP_194473083.1,31.868,NZ_CP030037.1,PRTase-CE,PRTase-CE
