Target Name	Accession	Description	Occurrences
GalKase_gal_bdg	PF10509.15	Galactokinase galactose-binding signature	2
GHMP_kinases_N	PF00288.32	GHMP kinases N terminal domain	5
GHMP_kinases_C	PF08544.18	GHMP kinases C terminal	5
DUF6124	PF19619.4	Family of unknown function (DUF6124)	20
AAA_31	PF13614.12	AAA domain	38
CbiA	PF01656.29	CobQ/CobB/MinD/ParA nucleotide binding domain	42
ParA	PF10609.15	NUBPL iron-transfer P-loop NTPase	35
MipZ	PF09140.17	ATPase MipZ	28
CBP_BcsQ	PF06564.18	Cellulose biosynthesis protein BcsQ	20
ArsA_ATPase	PF02374.21	Anion-transporting ATPase	25
Fer4_NifH	PF00142.24	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	15
VirC1	PF07015.17	VirC1 protein	10
Response_reg	PF00072.30	Response regulator receiver domain	94
HTH_64	PF20714.3	DpiA-like helix-turn-helix domain	2
GlnR_1st	PF21695.3	Transcription regulator GlnR, N-terminal domain	1
Resolvase	PF00239.26	Resolvase, N terminal domain	146
HTH_38	PF13936.12	Helix-turn-helix domain	37
HTH_7	PF02796.21	Helix-turn-helix domain of resolvase	69
HTH_23	PF13384.12	Homeodomain-like domain	266
RVT_1	PF00078.32	Reverse transcriptase (RNA-dependent DNA polymerase)	1131
rve	PF00665.32	Integrase core domain	172
rve_2	PF13333.12	Integrase core domain	88
rve_3	PF13683.12	Integrase core domain	136
TniB	PF05621.17	Bacterial TniB protein	58
AAA_22	PF13401.12	AAA domain	529
Amidase_3	PF01520.23	N-acetylmuramoyl-L-alanine amidase	5
CarboxypepD_reg	PF13620.12	Carboxypeptidase regulatory-like domain	38
CarbopepD_reg_2	PF13715.12	CarboxypepD_reg-like domain	35
ORC-CDC6-like	PF24389.1	ORC-CDC6-like	1045
DDE_Tnp_IS66	PF03050.20	Transposase IS66 family	53
DDE_Tnp_IS66_C	PF13817.11	IS66 C-terminal element	43
LZ_Tnp_IS66	PF13007.12	Transposase C of IS166 homeodomain	39
zf-IS66	PF13005.12	zinc-finger binding domain of transposase IS66	40
PBP_like_2	PF12849.12	PBP superfamily domain	6
SBP_bac_1	PF01547.30	Bacterial extracellular solute-binding protein	25
PBP_like	PF12727.12	PBP superfamily domain	5
NACHT	PF05729.18	NACHT domain	67
HNH_5	PF14279.12	HNH endonuclease	31
Phage_integrase	PF00589.27	Phage integrase family	467
Phage_int_SAM_1	PF02899.23	Phage integrase, N-terminal SAM-like domain	66
RelB	PF04221.18	RelB antitoxin	8
HipA_C	PF07804.18	HipA-like C-terminal domain	28
Couple_hipA	PF13657.11	HipA N-terminal domain	25
TerB_C	PF15615.11	TerB-C domain	4
TerB	PF05099.18	Tellurite resistance protein TerB	7
DUF533	PF04391.17	Protein of unknown function (DUF533)	4
NADAR	PF08719.17	NADAR domain	187
HTH_3	PF01381.28	Helix-turn-helix	440
HTH_19	PF12844.13	Helix-turn-helix domain	265
HTH_31	PF13560.12	Helix-turn-helix domain	380
DUF3363	PF11843.13	Protein of unknown function (DUF3363)	11
SBP_bac_3	PF00497.25	Bacterial extracellular solute-binding proteins, family 3	36
BPD_transp_1	PF00528.27	Binding-protein-dependent transport system inner membrane component	66
DUF6471	PF20075.5	Domain of unknown function (DUF6471)	3
Peptidase_M19	PF01244.27	Membrane dipeptidase (Peptidase family M19)	2
3HCDH_N	PF02737.24	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	20
3HCDH	PF00725.27	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	8
NAD_binding_2	PF03446.21	NAD binding domain of 6-phosphogluconate dehydrogenase	36
Sacchrp_dh_NADP	PF03435.24	Saccharopine dehydrogenase NADP binding domain	13
UDPG_MGDP_dh_N	PF03721.20	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	16
F420_oxidored	PF03807.23	NADP oxidoreductase coenzyme F420-dependent	25
T6SS_Tle1-like_cat	PF09994.14	T6SS, Phospholipase effector Tle1-like, catalytic domain	10
DUF1612	PF07756.17	Protein of unknown function (DUF1612)	40
HTH_13	PF11972.14	HTH DNA binding domain	39
DUF2610	PF11020.14	Domain of unknown function (DUF2610)	2
HTH_Tnp_1	PF01527.26	Transposase	179
HTH_28	PF13518.12	Helix-turn-helix domain	196
DNA_methylase	PF00145.23	C-5 cytosine-specific DNA methylase	130
DUF3958	PF13125.11	Protein of unknown function (DUF3958)	2
N6_Mtase	PF02384.22	N-6 DNA Methylase	467
DUF3127	PF11325.14	Domain of unknown function (DUF3127)	1
PaaA2	PF21217.3	Stability determinant	1
ADH_N	PF08240.17	Alcohol dehydrogenase GroES-like domain	24
ADH_zinc_N	PF00107.32	Zinc-binding dehydrogenase	32
Glu_dehyd_C	PF16912.11	Glucose dehydrogenase C-terminus	13
ADH_zinc_N_2	PF13602.12	Zinc-binding dehydrogenase	24
CAP	PF00188.32	Cysteine-rich secretory protein family	2
Pox_D5	PF03288.22	Poxvirus D5 protein-like	8
D5_N	PF08706.16	D5 N terminal like	11
DUF5906	PF19263.5	Family of unknown function (DUF5906)	22
PPV_E1_C	PF00519.23	Papillomavirus helicase	1
Nitroreductase	PF00881.29	Nitroreductase family	14
NB-ARC	PF00931.28	NB-ARC domain	31
TPR_2	PF07719.23	Tetratricopeptide repeat	101
TPR_11	PF13414.12	TPR repeat	28
TPR_14	PF13428.12	Tetratricopeptide repeat	70
Tc-R-P	PF22785.1	Polymorphic toxin system, DSP-PTPase phosphatase	4
PTP-SAK	PF22784.1	Swiss Army Knife protein, DSP-PTPase phosphatase domain	2
DSPc	PF00782.25	Dual specificity phosphatase, catalytic domain	5
CDKN3	PF05706.17	Cyclin-dependent kinase inhibitor 3 (CDKN3)	1
Y_phosphatase3	PF13350.11	Tyrosine phosphatase family	3
Recombinase	PF07508.19	Recombinase	69
Zn_ribbon_recom	PF13408.12	Recombinase zinc beta ribbon domain	33
DUF1294	PF06961.18	Protein of unknown function (DUF1294)	3
tRNA_U5-meth_tr	PF05958.17	tRNA (Uracil-5-)-methyltransferase	10
Methyltransf_31	PF13847.12	Methyltransferase domain	158
TRAM	PF01938.26	TRAM domain	9
Met_10	PF02475.22	Met-10+ like-protein	10
Methyltransf_25	PF13649.12	Methyltransferase domain	225
MTS	PF05175.20	Methyltransferase small domain	328
Methyltransf_15	PF09445.16	RNA cap guanine-N2 methyltransferase	18
PrmA	PF06325.19	Ribosomal protein L11 methyltransferase (PrmA)	22
Cons_hypoth95	PF03602.21	Conserved hypothetical protein 95	89
Methyltransf_11	PF08241.18	Methyltransferase domain	101
CTD4	PF20280.3	C-terminal domain 4 of the ABC-three component (ABC-3C) systems	4
Trypsin_2	PF13365.12	Trypsin-like peptidase domain	33
Trypsin	PF00089.32	Trypsin	20
AbiEii	PF08843.17	Nucleotidyl transferase AbiEii toxin, Type IV TA system	39
Peptidase_M23	PF01551.28	Peptidase family M23	11
DHHA2	PF02833.19	DHHA2 domain	4
DHH	PF01368.26	DHH family	7
Thymidylat_synt	PF00303.24	Thymidylate synthase	14
MCPsignal	PF00015.26	Methyl-accepting chemotaxis protein (MCP) signalling domain	42
4HB_MCP_1	PF12729.13	Four helix bundle sensory module for signal transduction	9
HAMP	PF00672.30	HAMP domain	40
TarH	PF02203.21	Tar ligand binding domain homologue	4
FKBP_C	PF00254.34	FKBP-type peptidyl-prolyl cis-trans isomerase	1
DUF2799	PF10973.13	Protein of unknown function (DUF2799)	1
SnoaL_3	PF13474.12	SnoaL-like domain	8
DUF4440	PF14534.12	Domain of unknown function (DUF4440)	12
SnoaL_2	PF12680.13	SnoaL-like domain	14
HicB_lk_antitox	PF15919.11	HicB_like antitoxin of bacterial toxin-antitoxin system	8
Abi_C	PF14355.11	Abortive infection C-terminus	8
CTD7	PF20283.3	C-terminal domain 7 of the ABC-three component (ABC-3C) systems	18
CAP12-PCTIR_TIR	PF10137.14	CAP12/Pycsar effector protein, TIR domain	8
cNMP_binding	PF00027.35	Cyclic nucleotide-binding domain	20
HNH	PF01844.29	HNH endonuclease	72
DoxX_2	PF13564.11	DoxX-like family	5
HTH_Tnp_ISL3	PF13542.12	Helix-turn-helix domain of transposase family ISL3	40
HTH_11	PF08279.18	HTH domain	61
SNF	PF00209.24	Sodium:neurotransmitter symporter family	6
DUF1889	PF08986.15	Domain of unknown function (DUF1889)	3
ADH_N_2	PF16884.10	N-terminal domain of oxidoreductase	4
DUF3489	PF11994.14	Protein of unknown function (DUF3489)	10
Copper-bind	PF00127.26	Copper binding proteins, plastocyanin/azurin family	4
Cupredoxin_1	PF13473.12	Cupredoxin-like domain	3
His_kinase	PF06580.18	Histidine kinase	2
Hydrolase_3	PF08282.18	haloacid dehalogenase-like hydrolase	498
S6PP	PF05116.19	Sucrose-6F-phosphate phosphohydrolase	88
Prok-JAB	PF14464.11	Prokaryotic homologs of the JAB domain	20
JAB	PF01398.26	JAB1/Mov34/MPN/PAD-1 ubiquitin protease	2
TIR_2	PF13676.11	TIR domain	30
DUF2811	PF10929.13	Protein of unknown function (DUF2811)	3
TraO	PF10626.15	Conjugative transposon protein TraO	3
HTH_30	PF13556.12	PucR C-terminal helix-turn-helix domain	9
GGDEF_2	PF17853.6	GGDEF-like domain	5
AAA_15	PF13175.12	AAA ATPase domain	355
OLD-like_TOPRIM	PF20469.4	Overcoming lysogenization defect protein-like, TOPRIM domain	101
AAA_21	PF13304.12	AAA domain, putative AbiEii toxin, Type IV TA system	571
SMC_N	PF02463.25	RecF/RecN/SMC N terminal domain	430
AAA_23	PF13476.12	AAA domain	229
AAA_27	PF13514.12	AAA domain	46
AAA_29	PF13555.12	P-loop containing region of AAA domain	182
Peptidase_M78	PF06114.19	IrrE N-terminal-like domain	51
Arm-DNA-bind_5	PF17293.8	Arm DNA-binding domain	41
Phage_int_SAM_5	PF13102.12	Phage integrase SAM-like domain	76
AAA_16	PF13191.12	AAA ATPase domain	351
Pyr_redox_2	PF07992.20	Pyridine nucleotide-disulphide oxidoreductase	66
Pyr_redox	PF00070.33	Pyridine nucleotide-disulphide oxidoreductase	36
SO_alpha_A3	PF17806.6	Sarcosine oxidase A3 domain	3
FAD_binding_2	PF00890.30	FAD binding domain	46
HTH_17	PF12728.13	Helix-turn-helix domain	206
SbcC_Walker_B	PF13558.12	SbcC/RAD50-like, Walker B motif	19
Bap31_Bap29_C	PF18035.6	Bap31/Bap29 cytoplasmic coiled-coil domain	1
ParBc	PF02195.24	ParB/Sulfiredoxin domain	68
SRAP	PF02586.19	SOS response associated peptidase (SRAP)	27
RadC	PF04002.20	RadC-like JAB domain	29
HNH_3	PF13392.12	HNH endonuclease	3
Mu-transpos_C_2	PF22483.2	Mu transposase, C-terminal domain	31
UCR_Fe-S_N	PF10399.14	Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal	4
Rieske	PF00355.32	Rieske [2Fe-2S] domain	10
TnsE_C	PF18623.6	TnsE C-terminal domain	15
GST_N_3	PF13417.12	Glutathione S-transferase, N-terminal domain	25
GST_N_2	PF13409.12	Glutathione S-transferase, N-terminal domain	27
GST_N	PF02798.26	Glutathione S-transferase, N-terminal domain	24
Peptidase_M14	PF00246.29	Zinc carboxypeptidase	6
GerE	PF00196.25	Bacterial regulatory proteins, luxR family	41
Metallophos	PF00149.33	Calcineurin-like phosphoesterase	63
Metallophos_2	PF12850.12	Calcineurin-like phosphoesterase superfamily domain	59
