Protein1	Protein2	Percent_Identity
WP_016357131.1	WP_223246854.1	99.606
WP_016357131.1	WP_261369487.1	98.98
WP_019269577.1	WP_434335677.1	95.062
WP_019269578.1	WP_041159810.1	95.082
WP_019269578.1	WP_434335677.1	96.721
WP_223246854.1	WP_261369487.1	99.49
WP_228023579.1	WP_228036025.1	100.0
WP_228475700.1	WP_228477217.1	99.776
WP_228475700.1	WP_274758025.1	100.0
WP_228475700.1	WP_239022530.1	99.528
WP_228477217.1	WP_274758025.1	100.0
WP_228477217.1	WP_239022530.1	99.528
WP_233433202.1	WP_249533827.1	97.015
WP_233433202.1	WP_409024342.1	97.561
WP_233433202.1	WP_353395127.1	95.556
WP_238580651.1	WP_285230769.1	99.142
WP_238580651.1	WP_273681674.1	97.845
WP_239022530.1	WP_274758025.1	99.528
WP_243728866.1	WP_434335677.1	97.619
WP_249533827.1	WP_409024342.1	99.187
WP_271342744.1	WP_333727762.1	99.569
WP_273681674.1	WP_285230769.1	97.845
WP_334199238.1	WP_409231152.1	99.281
WP_334199238.1	WP_409231146.1	98.201
WP_409231146.1	WP_409231152.1	98.986
WP_409240751.1	WP_417064782.1	97.561
