ClusterID,Proteins
Cluster_1,"WP_233433203.1, WP_248841087.1, WP_249533828.1, WP_251849809.1, WP_255128776.1, WP_284556596.1, WP_353395125.1, WP_409024341.1"
Cluster_2,"WP_238580652.1, WP_239936011.1, WP_241194368.1, WP_258662726.1, WP_273681675.1, WP_285230770.1"
Cluster_3,"WP_019269576.1, WP_036428024.1, WP_045081926.1, WP_230593178.1, WP_243728867.1"
Cluster_4,"WP_226961206.1, WP_228475701.1, WP_228477218.1, WP_239022529.1, WP_349612002.1"
Cluster_5,"WP_124065251.1, WP_165768429.1, WP_232627577.1, WP_332606490.1"
Cluster_6,"WP_052039259.1, WP_096695397.1, WP_099960298.1, WP_350028107.1"
Cluster_7,"WP_016357129.1, WP_223246853.1, WP_342672723.1"
Cluster_8,"WP_265493734.1, WP_265503875.1, WP_265579380.1"
Cluster_9,"WP_007208429.1, WP_147607111.1, WP_302351210.1"
Cluster_10,"WP_228710992.1, WP_228712064.1"
Cluster_11,"WP_070134604.1, WP_312216039.1"
Cluster_12,"WP_227554673.1, WP_228267261.1"
Cluster_13,"WP_095669547.1, WP_370738454.1"
Cluster_14,"WP_018713963.1, WP_143297695.1"
Cluster_15,"WP_247095355.1, WP_301696169.1"
Cluster_16,"WP_119212773.1, WP_119218706.1"
