Target Name	Accession	Description	Occurrences
PRTase-CE	PF24390.1	PRTase-CE	3637
YxiF	PF24715.1	YxiF protein	1
Pribosyltran	PF00156.33	Phosphoribosyl transferase domain	133
UPRTase	PF14681.12	Uracil phosphoribosyltransferase	125
PRTase_2	PF15609.12	Phosphoribosyl transferase	75
DUF1308	PF07000.17	Protein of unknown function (DUF1308)	1
CBM64	PF18666.6	Carbohydrate-binding module 64	1
Ago_MID_bact	PF22362.1	Argonaute, middle domain, bacteria	1
TPR_GEMI5	PF23774.1	GEMI5 TPR domain	1
Resolvase	PF00239.26	Resolvase, N terminal domain	1
Kdo	PF06293.20	Lipopolysaccharide kinase (Kdo/WaaP) family	2
nSTAND3	PF20720.3	Novel STAND NTPase 3	5
YmgB	PF10798.13	Biofilm development protein YmgB/AriR	1
JIP_LZII	PF16471.10	JNK-interacting protein leucine zipper II	1
ResIII	PF04851.21	Type III restriction enzyme, res subunit	5
MCM_WH_arc	PF21120.3	Archaeal MCM, winged-helix	1
Cupin_NOL9	PF24419.1	Polynucleotide 5'-hydroxyl-kinase NOL9, N-terminal domain	1
UPF0261	PF06792.17	Uncharacterised protein family (UPF0261) N-terminal domain	1
CPT	PF07931.18	Chloramphenicol phosphotransferase-like protein	1
DUF6706	PF20449.3	Family of unknown function (DUF6706)	1
GARS_A_3	-	-	3
pld_4	-	-	1
DUF1041_2a	-	-	1
pi3k_hr1_6	-	-	1
Bdr_N_group2	NF040500.1	NCBIFAM: Bdr protein N-terminal domain	1
PRK06827.1	NF005299.0	NCBI Protein Cluster (PRK): phosphoribosylpyrophosphate synthetase	16
PRK00129.1	NF001097.0	NCBI Protein Cluster (PRK): uracil phosphoribosyltransferase	48
HPT_Archaea	NF040646.1	NCBIFAM: hypoxanthine/guanine phosphoribosyltransferase	18
PRK02304.1-4	NF002635.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	15
PRK12560.1	NF009211.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	17
PRK01259.1	NF002320.0	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase	12
PRK00934.1	NF002095.0	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase	19
PRK02304.1-5	NF002636.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	13
ribP_PPkin	TIGR01251.1	JCVI: ribose-phosphate diphosphokinase	10
upp	TIGR01091.1	JCVI: uracil phosphoribosyltransferase	61
comF	TIGR00201.1	JCVI: ComF family protein	9
PRK02277.1	NF002620.0	NCBI Protein Cluster (PRK): orotate phosphoribosyltransferase-like protein	44
PRK05500.1	NF004034.0	NCBI Protein Cluster (PRK): bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase	4
