Most Frequent Protein ID	Frequency	Description
WP_001261286.1	6515	type II toxin-antitoxin system VapB family antitoxin
WP_001034046.1	6471	type II toxin-antitoxin system VapC family toxin
WP_071994637.1	3601	ATP-binding protein
WP_087757875.1	3359	helix-turn-helix domain-containing protein
WP_000361402.1	2801	helicase UvrD
WP_000528932.1	2731	HEPN family nuclease
WP_032418459.1	2672	P-loop NTPase fold protein
WP_000905949.1	2609	hypothetical protein
WP_000016493.1	2457	site-specific integrase
WP_001144732.1	2378	hypothetical protein
Unknown	2278	hypothetical protein
WP_001542067.1	2276	DUF3800 domain-containing protein
WP_032434699.1	2175	DNA-binding protein
WP_001128474.1	1954	ATP-dependent nuclease
WP_074390292.1	1748	GNAT family N-acetyltransferase
WP_071528444.1	1720	IS1 family transposase
WP_001128474.1	1672	AAA family ATPase
WP_032418453.1	1456	helix-turn-helix transcriptional regulator
Unknown	1271	IS3 family transposase
WP_032418458.1	1223	AlpA family transcriptional regulator
Unknown	1222	tyrosine-type recombinase/integrase
WP_064055658.1	1197	anti-phage transmembrane ATPase
WP_032418461.1	1193	integrase domain-containing protein
WP_032434697.1	1177	relaxase/mobilization nuclease domain-containing protein
WP_011922653.1	1150	MerR family transcriptional regulator
WP_000142450.1	1102	DUF6404 family protein
Unknown	1095	cysteine hydrolase family protein
WP_011922652.1	1094	nucleotidyltransferase
WP_011921947.1	1085	ribosome silencing factor
WP_012774974.1	1036	dynamin family protein
WP_032418456.1	1014	DUF927 domain-containing protein
WP_012774975.1	1007	HNH/ENDO VII family nuclease
WP_032418460.1	994	hypothetical protein
WP_011921943.1	989	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK
WP_032434701.1	979	DUF1493 family protein
WP_004188736.1	971	STM2901 family protein
WP_004149516.1	968	heme ABC transporter ATP-binding protein
Unknown	966	transposase
WP_002915094.1	941	Hcp family type VI secretion system effector
WP_023154360.1	938	3'-5' exonuclease
WP_071994636.1	938	hypothetical protein
WP_000744626.1	937	hypothetical protein
WP_032434695.1	918	hypothetical protein
WP_032418451.1	909	PTS glucitol/sorbitol transporter subunit IIC
WP_001128474.1	877	ATP-dependent endonuclease
WP_012774973.1	820	hypothetical protein
WP_004300586.1	795	restriction endonuclease subunit S
WP_011921948.1	785	class I SAM-dependent DNA methyltransferase
WP_002914164.1	782	SsrA-binding protein SmpB
WP_008806099.1	748	type II toxin-antitoxin system RatA family toxin
WP_000864812.1	717	colicin M immunity protein
WP_004145682.1	702	RnfH family protein
Unknown	699	LysR family transcriptional regulator
WP_223155668.1	696	IS1-like element IS1A family transposase
WP_000493379.1	691	hypothetical protein
WP_000796228.1	676	hypothetical protein
WP_001024511.1	662	MFS transporter
WP_170930870.1	660	pcar
WP_020750859.1	634	DEAD/DEAH box helicase
WP_001311056.1	607	hypothetical protein
WP_001312845.1	603	lipid II-degrading bacteriocin colicin M
WP_004174663.1	594	FecCD family ABC transporter permease
WP_097309154.1	593	type II toxin-antitoxin system toxin YacB
WP_004300583.1	503	type I restriction endonuclease subunit R
WP_011921948.1	482	class I SAM-dependent methyltransferase
WP_000813630.1	439	type II toxin-antitoxin system antitoxin CcdA
WP_001159871.1	427	type II toxin-antitoxin system toxin CcdB
WP_000005240.1	426	TetR/AcrR family transcriptional regulator
WP_000812155.1	416	ABC transporter permease
WP_004174663.1	386	iron ABC transporter permease
Unknown	381	recombinase family protein
WP_000624952.1	378	Eco57I restriction-modification methylase domain-containing protein
Unknown	356	Y-family DNA polymerase
WP_001701050.1	337	HNH endonuclease
WP_001144731.1	335	hypothetical protein
WP_004300582.1	333	DUF262 domain-containing protein
WP_001087212.1	331	ADP-ribosylglycohydrolase family protein
WP_000151475.1	318	DarT ssDNA thymidine ADP-ribosyltransferase family protein
WP_001011030.1	313	HTH-type transcriptional regulator Cbl
WP_061093028.1	311	nitrogen assimilation transcriptional regulator NAC
WP_223175075.1	303	hypothetical protein
Unknown	302	ABC transporter ATP-binding protein
WP_031591564.1	287	phage repressor protein CI
WP_165662795.1	285	restriction endonuclease
WP_197705433.1	278	UvrD-helicase domain-containing protein
Unknown	274	IS21 family transposase
Unknown	271	integrase
WP_165488789.1	260	IS3-like element IS2 family transposase
Unknown	253	BRCT domain-containing protein
WP_032855182.1	251	plasmid mobilization protein
WP_003231333.1	243	YolD-like family protein
WP_369810755.1	240	TerB N-terminal domain-containing protein
WP_193860392.1	237	SDR family oxidoreductase
WP_003231326.1	237	type VII secretion system immunity protein YobK
WP_109789044.1	237	type I toxin-antitoxin system toxin BsrE
WP_026009814.1	237	hypothetical protein
WP_001144036.1	236	ParA family protein
WP_003231327.1	236	hypothetical protein
WP_004399481.1	232	LXG family T7SS effector ribonuclease toxin YobL
WP_009967409.1	232	hypothetical protein
WP_004399440.1	229	phosphatase RapK inhibitor PhrK
WP_003231340.1	229	response regulator aspartate phosphatase RapK
WP_000629908.1	228	hypothetical protein
WP_003461121.1	224	AraC family transcriptional regulator
WP_003117250.1	219	SDR family NAD(P)-dependent oxidoreductase
WP_124097219.1	219	hypothetical protein
WP_032180025.1	218	type I restriction-modification system subunit M
WP_122438062.1	218	TrlF family AAA-like ATPase
WP_223541554.1	216	hypothetical protein
WP_199885313.1	214	MBL fold metallo-hydrolase
WP_000786275.1	212	AAA domain-containing protein
WP_004300585.1	211	site-specific tyrosine recombinase/integron integrase
WP_021550960.1	206	type II toxin-antitoxin system RelE/ParE family toxin
WP_001069790.1	204	GTPase family protein
WP_003111434.1	199	hypothetical protein
WP_023100852.1	198	SIR2 family protein
WP_004221220.1	191	carbohydrate ABC transporter permease
WP_029393093.1	190	DUF977 family protein
WP_000468111.1	190	hypothetical protein
WP_122431012.1	187	NAD(P)/FAD-dependent oxidoreductase
WP_019445882.1	186	glutamine-hydrolyzing GMP synthase
WP_122430843.1	186	NAD(P)H-dependent oxidoreductase
WP_000469564.1	186	hypothetical protein
WP_122430841.1	182	DUF2251 domain-containing protein
WP_001220779.1	180	hypothetical protein
WP_000662270.1	180	hypothetical protein
WP_002942232.1	179	toll/interleukin-1 receptor domain-containing protein
WP_011154649.1	176	IS66 family insertion sequence element accessory protein TnpB
WP_240994998.1	173	cobalamin biosynthetic protein
WP_118891881.1	172	alpha/beta hydrolase
Unknown	171	osmoprotectant ABC transporter substrate-binding protein
WP_021520975.1	171	DUF932 domain-containing protein
WP_127133378.1	171	hypothetical protein
WP_000532912.1	170	YebC/PmpR family DNA-binding transcriptional regulator
WP_001014729.1	168	phage replisome organizer N-terminal domain-containing protein
Unknown	167	helicase-related protein
Unknown	165	MutR family transcriptional regulator
Unknown	165	colicin Ia central receptor-binding domain-containing protein
WP_000693832.1	165	toxin YdaT family protein
WP_164455088.1	161	integrating conjugative element protein
WP_000986308.1	161	L%2CD-transpeptidase
Unknown	159	ISAs1 family transposase
WP_000361612.1	157	RepB family plasmid replication initiator protein
Unknown	156	transposase domain-containing protein
WP_023100851.1	156	ParA family partition ATPase
WP_005646249.1	155	site-specific DNA-methyltransferase
WP_014640290.1	155	toxic metabolite efflux MATE transporter YeeO
WP_122438060.1	154	OprD family porin
WP_205812231.1	153	DEAD/DEAH box helicase family protein
