Target Name	Accession	Query Name	E-value	Score	Start	End	Description
YobI-ATPase	PF20693.3	WP_001683567	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096058004	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_375079919	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_147120849	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_054627953	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_130560746	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_125077911	4.5e-104	349.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_209303553	3.4e-104	349.6	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_152071185	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_130525902	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_000606049	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_191641884	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_373396238	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_104774130	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_321575948	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_089564157	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_197910612	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_323748658	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_336622841	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_032232022	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_194846449	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_126269080	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_336479839	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_114456171	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
