Source File,Main Protein,Found Protein,Position,Product
WP_158837519_neighbors.csv,WP_158837519.1,WP_368074177.1,upstream,hypothetical protein
WP_270331634_neighbors.csv,WP_270331634.1,WP_333485618.1,downstream,hypothetical protein
WP_280991013_neighbors.csv,WP_280991013.1,WP_228267451.1,downstream,hypothetical protein
WP_142413860_neighbors.csv,WP_142413860.1,WP_341472629.1,downstream,hypothetical protein
WP_277848467_neighbors.csv,WP_277848467.1,WP_338405901.1,downstream,hypothetical protein
WP_277848467_neighbors.csv,WP_277848467.1,WP_277848468.1,downstream,hypothetical protein
WP_261167511_neighbors.csv,WP_261167511.1,WP_261167510.1,upstream,hypothetical protein
WP_163455010_neighbors.csv,WP_163455010.1,WP_163455008.1,downstream,hypothetical protein
WP_114138884_neighbors.csv,WP_114138884.1,WP_114138885.1,downstream,hypothetical protein
WP_114138884_neighbors.csv,WP_114138884.1,WP_114138886.1,downstream,hypothetical protein
WP_146046908_neighbors.csv,WP_146046908.1,WP_103791297.1,downstream,hypothetical protein
WP_256769287_neighbors.csv,WP_256769287.1,WP_180814337.1,downstream,hypothetical protein
WP_150289547_neighbors.csv,WP_150289547.1,WP_150289548.1,downstream,hypothetical protein
WP_409247599_neighbors.csv,WP_409247599.1,WP_409246987.1,downstream,hypothetical protein
WP_402743530_neighbors.csv,WP_402743530.1,WP_402743531.1,downstream,hypothetical protein
WP_392559455_neighbors.csv,WP_392559455.1,WP_392559454.1,upstream,hypothetical protein
WP_392559455_neighbors.csv,WP_392559455.1,WP_392559456.1,downstream,hypothetical protein
WP_306248109_neighbors.csv,WP_306248109.1,WP_306248111.1,downstream,hypothetical protein
WP_228267451_neighbors.csv,WP_228267451.1,WP_228267452.1,downstream,hypothetical protein
WP_228267451_neighbors.csv,WP_228267451.1,WP_407260672.1,upstream,hypothetical protein
WP_228267451_neighbors.csv,WP_228267451.1,WP_280991013.1,upstream,hypothetical protein
WP_052133217_neighbors.csv,WP_052133217.1,WP_152607488.1,upstream,hypothetical protein
WP_224266238_neighbors.csv,WP_224266238.1,WP_224266239.1,downstream,hypothetical protein
WP_228594998_neighbors.csv,WP_228594998.1,WP_228594996.1,upstream,hypothetical protein
WP_347813926_neighbors.csv,WP_347813926.1,WP_213923223.1,downstream,hypothetical protein
WP_348271945_neighbors.csv,WP_348271945.1,WP_244468236.1,downstream,hypothetical protein
WP_072980545_neighbors.csv,WP_072980545.1,WP_072980546.1,downstream,hypothetical protein
WP_241774432_neighbors.csv,WP_241774432.1,WP_256986912.1,upstream,hypothetical protein
WP_312403729_neighbors.csv,WP_312403729.1,WP_312403727.1,downstream,hypothetical protein
WP_261310674_neighbors.csv,WP_261310674.1,WP_261310675.1,downstream,hypothetical protein
WP_155885577_neighbors.csv,WP_155885577.1,WP_155885576.1,upstream,hypothetical protein
WP_158826567_neighbors.csv,WP_158826567.1,WP_158826566.1,upstream,hypothetical protein
WP_259272203_neighbors.csv,WP_259272203.1,WP_259272204.1,downstream,hypothetical protein
WP_264974851_neighbors.csv,WP_264974851.1,WP_264974850.1,downstream,hypothetical protein
WP_324249590_neighbors.csv,WP_324249590.1,WP_229037069.1,downstream,P-loop NTPase fold protein
WP_271342745_neighbors.csv,WP_271342745.1,WP_271342746.1,downstream,hypothetical protein
WP_407251256_neighbors.csv,WP_407251256.1,WP_124040463.1,upstream,hypothetical protein
WP_407251256_neighbors.csv,WP_407251256.1,WP_407251314.1,upstream,hypothetical protein
WP_161476339_neighbors.csv,WP_161476339.1,WP_347403489.1,upstream,pcar
WP_234057484_neighbors.csv,WP_234057484.1,WP_329601897.1,upstream,hypothetical protein
WP_143297695_neighbors.csv,WP_143297695.1,WP_143297694.1,upstream,hypothetical protein
WP_246842275_neighbors.csv,WP_246842275.1,WP_246842274.1,upstream,hypothetical protein
WP_246842275_neighbors.csv,WP_246842275.1,WP_246842276.1,downstream,hypothetical protein
WP_290924101_neighbors.csv,WP_290924101.1,WP_290924103.1,downstream,hypothetical protein
WP_250391431_neighbors.csv,WP_250391431.1,WP_228709039.1,upstream,hypothetical protein
WP_407245475_neighbors.csv,WP_407245475.1,WP_407245418.1,downstream,hypothetical protein
WP_228714479_neighbors.csv,WP_228714479.1,WP_228714481.1,downstream,hypothetical protein
WP_089663732_neighbors.csv,WP_089663732.1,WP_089663730.1,upstream,hypothetical protein
WP_250221809_neighbors.csv,WP_250221809.1,WP_231527659.1,downstream,hypothetical protein
WP_210408756_neighbors.csv,WP_210408756.1,WP_227538379.1,downstream,P-loop NTPase fold protein
WP_210408756_neighbors.csv,WP_210408756.1,WP_241528274.1,downstream,P-loop NTPase fold protein
WP_210408756_neighbors.csv,WP_210408756.1,WP_318613194.1,downstream,P-loop NTPase fold protein
