Protein ID	Frequency	Description
WP_013213995.1	789	hypothetical protein
WP_013213994.1	774	hypothetical protein
WP_013213991.1	694	GNAT family N-acetyltransferase
WP_157845837.1	472	N-6 DNA methylase
WP_013213999.1	443	phosphoribosyltransferase-like protein
WP_019706022.1	416	hypothetical protein
WP_014343474.1	299	N-6 DNA methylase
WP_015344940.1	279	replication regulatory protein RepA
WP_015344941.1	268	phospholipase D family protein
WP_000564578.1	234	hypothetical protein
WP_002010310.1	223	dUTP diphosphatase
WP_001054892.1	215	hypothetical protein
WP_000280761.1	214	hypothetical protein
WP_015344938.1	212	incFII family plasmid replication initiator RepA
WP_024437433.1	211	hypothetical protein
WP_000793838.1	208	threo-3-hydroxy-L-aspartate ammonia-lyase
WP_000566930.1	207	class I SAM-dependent methyltransferase
WP_000062822.1	200	phenylacetic acid degradation operon negative regulatory protein PaaX
WP_002108265.1	199	reverse transcriptase family protein
WP_001246782.1	199	TetR/AcrR family transcriptional regulator
WP_004099069.1	190	replication regulatory protein RepA
WP_001009533.1	185	YbdD/YjiX family protein
WP_013213996.1	181	phospholipase D family protein
WP_000380470.1	173	carbon starvation CstA family protein
WP_000528179.1	170	helix-turn-helix transcriptional regulator
WP_000995341.1	168	pirin family protein
WP_001171042.1	163	PaaI family thioesterase
WP_001112278.1	163	DapH/DapD/GlmU-related protein
WP_155772792.1	163	hypothetical protein
WP_077306024.1	163	phosphoribosyltransferase
WP_155772790.1	163	hypothetical protein
WP_077306020.1	163	AVAST type 1 anti-phage system protein Avs1c
WP_155772791.1	162	hypothetical protein
WP_077306026.1	161	DUF2971 domain-containing protein
WP_077306022.1	161	hypothetical protein
WP_077306018.1	157	S1 family peptidase
WP_000377856.1	154	phenylacetate--CoA ligase PaaK
WP_099501636.1	154	IS3 family transposase
WP_077306028.1	154	hypothetical protein
WP_004171457.1	149	RepA leader peptide Tap
WP_071605502.1	143	RepA leader peptide Tap
WP_001277471.1	135	DUF1330 domain-containing protein
WP_001061479.1	133	catalase family peroxidase
WP_000670324.1	133	hypothetical protein
WP_001180283.1	132	cytochrome b
WP_002108267.1	132	TetR/AcrR family transcriptional regulator
WP_007666376.1	125	phosphoribosyltransferase-like protein
WP_007901093.1	120	hypothetical protein
WP_122419334.1	118	reverse transcriptase family protein
WP_122419335.1	118	hypothetical protein
WP_122419336.1	118	hypothetical protein
WP_122419337.1	118	MobH family relaxase
WP_240994606.1	117	AAA family ATPase
WP_122419329.1	117	ATP-dependent helicase
WP_122419330.1	117	endonuclease domain-containing protein
WP_122419331.1	117	DEAD/DEAH box helicase
WP_122419333.1	117	phosphoribosyltransferase-like protein
WP_122419332.1	116	HamA C-terminal domain-containing protein
WP_077306016.1	116	MBL fold metallo-hydrolase
WP_023317514.1	113	incFII family plasmid replication initiator RepA
WP_000504281.1	110	DNA adenine methylase
WP_000610887.1	109	hypothetical protein
WP_000568400.1	109	hypothetical protein
WP_015344939.1	109	RepA leader peptide Tap
WP_026749761.1	108	hypothetical protein
WP_000997621.1	108	phosphoribosyltransferase-like protein
WP_023280428.1	107	reverse transcriptase family protein
WP_335618219.1	107	hypothetical protein
