Protein1	Protein2	Percent_Identity
WP_279272193.1	ref|WP_157898034.1|	98.378
WP_195818252.1	ref|WP_128320334.1|	95.327
WP_097573889.1	ref|WP_128320334.1|	100.0
WP_000623925.1	ref|WP_157898034.1|	99.459
WP_313752515.1	ref|WP_128320334.1|	100.0
WP_289467246.1	ref|WP_128320334.1|	100.0
WP_234565741.1	ref|WP_128320334.1|	100.0
WP_080218257.1	ref|WP_128320334.1|	100.0
WP_241219722.1	ref|WP_157898034.1|	98.919
WP_336996802.1	ref|WP_128320334.1|	100.0
WP_404695263.1	ref|WP_128320334.1|	100.0
WP_220771585.1	ref|WP_128320334.1|	100.0
WP_315806381.1	ref|WP_194473083.1|	96.19
WP_028626023.1	ref|WP_244212823.1|	100.0
WP_161216243.1	ref|WP_128320334.1|	100.0
WP_211743964.1	ref|WP_128320334.1|	100.0
WP_248239304.1	ref|WP_128320334.1|	100.0
WP_287874471.1	ref|WP_128320334.1|	99.065
WP_040084204.1	ref|WP_157898034.1|	99.459
WP_130097549.1	ref|WP_128320334.1|	100.0
WP_176671529.1	ref|WP_025217672.1|	97.333
WP_164476783.1	ref|WP_128320334.1|	99.065
WP_367633216.1	ref|WP_128320334.1|	95.327
WP_138317126.1	ref|WP_025217672.1|	100.0
