Protein1	Protein2	Percent_Identity
WP_069985718.1	WP_371913286	99.812
WP_069985718.1	WP_130983599	99.719
WP_069985718.1	WP_227661725	99.812
WP_069985718.1	WP_119127139	99.906
WP_069985718.1	WP_209739907	95.113
WP_069985718.1	WP_188028209	99.719
WP_069985718.1	WP_172870346	99.625
WP_069985718.1	WP_181590013	99.812
WP_069985718.1	WP_181874669	99.719
WP_069985718.1	WP_305200074	99.906
WP_069985718.1	WP_182250397	99.906
WP_069985718.1	WP_238640972	99.812
WP_069985718.1	WP_181876955	99.812
WP_069985718.1	WP_238641094	99.625
WP_235154195	WP_409997804.1	98.782
WP_235154195	WP_410401005.1	100.0
WP_069985718.1	WP_219714451	99.719
WP_062913612	WP_069985718.1	98.405
WP_396085763	WP_409997804.1	98.985
WP_396085763	WP_410401005.1	100.0
WP_174491340	WP_409997804.1	98.985
WP_174491340	WP_410401005.1	100.0
WP_069985718.1	WP_181948810	99.625
WP_241407768	WP_409997804.1	99.797
WP_241407768	WP_410401005.1	100.0
WP_209392441	WP_409997804.1	99.188
WP_209392441	WP_410401005.1	100.0
WP_181877452	WP_409997804.1	98.68
WP_181877452	WP_410401005.1	99.587
WP_170973680	WP_409997804.1	99.492
WP_170973680	WP_410401005.1	100.0
WP_247176985	WP_409997804.1	99.797
WP_247176985	WP_410401005.1	100.0
WP_174491135	WP_409997804.1	99.086
WP_174491135	WP_410401005.1	100.0
WP_027663104	WP_409997804.1	98.782
WP_027663104	WP_410401005.1	99.587
WP_172948505	WP_409997804.1	99.086
WP_172948505	WP_410401005.1	100.0
WP_213855181	WP_409997804.1	99.797
WP_213855181	WP_410401005.1	100.0
WP_176210974	WP_409997804.1	98.68
WP_176210974	WP_410401005.1	99.587
WP_353520550	WP_409997804.1	99.898
WP_353520550	WP_410401005.1	99.587
WP_243052653	WP_409997804.1	99.086
WP_243052653	WP_410401005.1	100.0
WP_237990502	WP_409997804.1	99.797
WP_237990502	WP_410401005.1	100.0
WP_175566493	WP_409997804.1	98.782
WP_175566493	WP_410401005.1	99.587
WP_001442743	WP_409997804.1	99.797
WP_001442743	WP_410401005.1	100.0
WP_001505097	WP_409997804.1	98.883
WP_001505097	WP_410401005.1	99.587
WP_176240820	WP_409997804.1	99.188
WP_176240820	WP_410401005.1	100.0
WP_001542068	WP_409997804.1	99.898
WP_001542068	WP_410401005.1	100.0
WP_175616550	WP_409997804.1	99.492
WP_175616550	WP_410401005.1	100.0
WP_242647603	WP_409997804.1	99.797
WP_242647603	WP_410401005.1	100.0
WP_084818649	WP_409997804.1	99.797
