Protein1	Protein2	Percent_Identity
WP_162543741.1	WP_162543953.1	97.0
WP_125034234.1	WP_162543953.1	97.0
WP_159088873.1	WP_162543953.1	97.0
WP_162543953.1	WP_275349696.1	96.0
WP_162543953.1	WP_270993885.1	96.0
WP_159089469.1	WP_162543953.1	96.97
WP_162543953.1	WP_241506326.1	96.0
WP_162543953.1	WP_219280012.1	95.0
WP_158414493.1	WP_162543953.1	96.875
WP_153459205.1	WP_162543953.1	96.809
WP_148673775.1	WP_162543953.1	96.809
WP_299231670.1	WP_340322497.1	97.941
WP_140460611.1	WP_170209126.1	99.615
WP_014881972.1	WP_042714436.1	98.92
WP_023309879.1	WP_042714436.1	98.704
WP_042714436.1	WP_045260073.1	98.704
WP_042714436.1	WP_232949120.1	98.704
WP_042714436.1	WP_400405767.1	98.488
WP_042714436.1	WP_136484640.1	98.488
WP_042714436.1	WP_047071111.1	98.488
WP_042714436.1	WP_333486119.1	98.488
WP_042714436.1	WP_320460648.1	96.983
WP_013971142.1	WP_317871890.1	96.667
WP_228138805.1	WP_252322637.1	100.0
WP_228138805.1	WP_260797521.1	100.0
WP_228138805.1	WP_228258017.1	100.0
WP_228138805.1	WP_249399367.1	100.0
WP_228138805.1	WP_264753085.1	100.0
WP_057193900.1	WP_228138805.1	100.0
WP_228138786.1	WP_228138805.1	100.0
WP_228138805.1	WP_240485668.1	100.0
WP_228138805.1	WP_228139108.1	100.0
WP_228138805.1	WP_279369674.1	100.0
WP_228138089.1	WP_228138805.1	100.0
WP_050591753.1	WP_228138805.1	100.0
WP_228138805.1	WP_265091382.1	100.0
WP_130111491.1	WP_228138805.1	100.0
WP_228138805.1	WP_272342476.1	100.0
WP_198080947.1	WP_228138805.1	100.0
WP_171251031.1	WP_228138805.1	100.0
WP_143243501.1	WP_228138805.1	100.0
WP_057689869.1	WP_228138805.1	100.0
WP_228138805.1	WP_272401256.1	100.0
WP_228138805.1	WP_306220003.1	100.0
WP_148108544.1	WP_228138805.1	100.0
WP_099755447.1	WP_228138805.1	100.0
WP_099769520.1	WP_228138805.1	100.0
WP_228138805.1	WP_272396957.1	100.0
WP_057061105.1	WP_228138805.1	100.0
WP_057694244.1	WP_228138805.1	100.0
WP_228138805.1	WP_277556746.1	100.0
WP_057691087.1	WP_228138805.1	100.0
WP_057091188.1	WP_228138805.1	100.0
WP_057066348.1	WP_228138805.1	100.0
WP_133447470.1	WP_228138805.1	100.0
WP_057692513.1	WP_228138805.1	100.0
WP_198073723.1	WP_228138805.1	100.0
WP_057690140.1	WP_228138805.1	100.0
WP_099770223.1	WP_228138805.1	100.0
WP_078208045.1	WP_228138805.1	100.0
WP_198131398.1	WP_228138805.1	100.0
WP_068920957.1	WP_228138805.1	100.0
WP_148792969.1	WP_228138805.1	100.0
WP_099745566.1	WP_228138805.1	100.0
WP_198064314.1	WP_228138805.1	100.0
WP_228138805.1	WP_264515957.1	100.0
WP_002108265.1	WP_228138805.1	100.0
WP_086379547.1	WP_228138805.1	100.0
WP_228138805.1	WP_348916518.1	98.718
WP_228138805.1	WP_240489289.1	100.0
WP_228138805.1	WP_427775339.1	98.361
WP_287375325.1	WP_314110086.1	100.0
WP_041590833.1	WP_287375325.1	98.854
WP_061868251.1	WP_287375325.1	98.691
WP_074453295.1	WP_287375325.1	98.691
WP_077491247.1	WP_287375325.1	98.527
WP_097616287.1	WP_287375325.1	98.363
WP_211599733.1	WP_287375325.1	98.363
WP_023847574.1	WP_287375325.1	98.2
WP_287375325.1	WP_315334423.1	97.054
WP_004248086.1	WP_036918345.1	99.038
WP_060478286.1	WP_377733481.1	98.734
WP_025552992.1	WP_274683826.1	95.985
WP_226238211.1	WP_241302718.1	98.762
WP_226238211.1	WP_321908061.1	96.782
WP_176042950.1	WP_226238211.1	96.906
WP_226238211.1	WP_301843077.1	96.782
WP_134257471.1	WP_226238211.1	96.411
WP_226238211.1	WP_423258289.1	95.775
WP_226238211.1	WP_226285525.1	98.734
WP_054048970.1	WP_163909402.1	98.94
WP_046695202.1	WP_192482488.1	99.733
WP_366360432.1	WP_366369115.1	100.0
WP_120093105.1	WP_227808150.1	98.534
WP_227031485.1	WP_227808150.1	98.24
WP_146579638.1	WP_146579647.1	98.333
WP_104262307.1	WP_104327218.1	99.74
WP_003117534.1	WP_049321194.1	99.32
WP_003117534.1	WP_012613766.1	99.546
WP_003113892.1	WP_003117534.1	99.32
WP_003117534.1	WP_031805495.1	99.32
WP_032755299.1	WP_032938028.1	97.26
WP_354328249.1	WP_354370140.1	98.305
WP_001112278.1	WP_032059093.1	99.502
WP_001112278.1	WP_001112281.1	98.507
WP_001112278.1	WP_032061006.1	99.005
